conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1873112815244066980,Mon Dec 30 10:33:59 +0000 2024,1,@PaltiWest2024 @mohmahfudmd @Dennysiregar7 @aniesbaswedan @PDI_Perjuangan Kebijakan pajak PPN 12% akan menyiksa rakyat miskin semua harga barang dan jasa apapun akan naik.Sementara keluarga muliono fufufafa mewah-mewah naik jet pribadi beli tas dan jam mewah makan 1 roti harga 400 ribu dll.,1873678915660878301,,PaltiWest2024,in,,0,0,0,https://x.com/KTheology46243/status/1873678915660878301,1791536821022990336,KTheology46243
1873653597126459788,Mon Dec 30 10:33:27 +0000 2024,3,@FelixSGL1 @mintribee Mereka cuman baru sadar aja kalo jualan yang baik adalah jualan yang laku. Dikira pendapatan perkapita warga sini tinggi jadi bisa dipalak sesuka hati nyatanya setelah ppn naik dari 10 ke 11% malah ambrol semua dan ini belom dinaikin ke 12. Siap2 menerima konsekuensinya aja sih,1873678780272890154,,FelixSGL1,in,,0,0,0,https://x.com/Altrezyi/status/1873678780272890154,713308836950454273,Altrezyi
1873673915622728144,Mon Dec 30 10:33:20 +0000 2024,1,@alyapedia Tenang tenang BBM non subsidi 1 Januari 25 bisa jadi naik naik krn Ppn 12% naik ditambah krn dolar masih tembus 16 rebu. https://t.co/Q5xjAPghOZ,1873678751781036135,https://pbs.twimg.com/media/GgCk5LyaoAEZofb.jpg,alyapedia,in,,0,0,0,https://x.com/brunoNewBorn/status/1873678751781036135,1605732087381622784,brunoNewBorn
1873524720706228346,Mon Dec 30 10:30:04 +0000 2024,0,@CutSarina5 Rakyat bayar gak pernah telat masih aja rugi. Pakai alasan PPN 12%. Kalo naik gak usah banyaj alasan,1873677931207401540,,CutSarina5,in,Dunia,0,0,0,https://x.com/Mas_zobirin/status/1873677931207401540,912692135446536192,Mas_zobirin
1872452570154926575,Mon Dec 30 10:29:03 +0000 2024,0,@jokowi Sekarang harga harga sudah naik menjelang tahun baru januari naik lagi gegara ppn kau naikkan jadi 12%,1873677675640004693,,jokowi,in,,0,0,0,https://x.com/jekseparoe/status/1873677675640004693,1586912925255495681,jekseparoe
1873526964470116502,Mon Dec 30 10:25:55 +0000 2024,23,@jasakencana9 @DokterTifa ASTAGA gw dagang di pasar sales produk A B C dll seragam kasih info produk mereka naik awal tahun besok imbas ppn 12% padahal produknya apa ? barang mewah ? ndak produk mereka hanya minyak kopi roti,1873676885382840551,,jasakencana9,in,,0,0,3,https://x.com/DeKha_Jog/status/1873676885382840551,895107772450078720,DeKha_Jog
1873668506518229501,Mon Dec 30 10:24:45 +0000 2024,0,@MbudDull Aku udah di Pakuwon lhooo padahal. Ghazzz sebelum PPN Naik 12%,1873676592947605887,,MbudDull,in,"Kota Yogyakarta, Yogyakarta",0,1,0,https://x.com/aqbr/status/1873676592947605887,63951743,aqbr
1873187040906695096,Mon Dec 30 10:20:21 +0000 2024,0,@AirinDatangLagi @prabowo @Gerindra @SuaraAnies beliau bukan presiden kardus Kebijakan pajak PPN 12% akan menyiksa rakyat miskin semua harga barang dan jasa apapun akan naik.Sementara keluarga muliono fufufafa mewah-mewah naik jet pribadi beli tas dan jam mewah makan 1 roti harga 400 ribu dll,1873675483315065321,,AirinDatangLagi,in,,0,0,0,https://x.com/KTheology46243/status/1873675483315065321,1791536821022990336,KTheology46243
1872894761042100544,Mon Dec 30 10:17:14 +0000 2024,0,@faridahamberi @DokterTifa @prabowo @Dennysiregar7 @korantempo @PDI_Perjuangan @Gerindra @bemui Kebijakan pajak PPN 12% akan menyiksa rakyat miskin semua harga barang dan jasa apapun akan naik.Sementara keluarga muliono fufufafa mewah-mewah naik jet pribadi beli tas dan jam mewah makan 1 roti harga 400 ribu dll,1873674700209201584,,faridahamberi,in,,0,0,0,https://x.com/KTheology46243/status/1873674700209201584,1791536821022990336,KTheology46243
1873649550323540283,Mon Dec 30 10:16:23 +0000 2024,0,@Swenn6we Semoga ga naik lagi grgr isu ppn 12% ,1873674485758640393,,Swenn6we,in,Semarang ,0,0,0,https://x.com/gunggunaa/status/1873674485758640393,4910122658,gunggunaa
